,PC1_pca,PC2_pca
0,22.43360833834762,-3.0924445487919203
1,0.47598603933341166,-0.9319840456246714
2,-0.9967448885646063,-1.0507709170112436
3,-0.8019066794223734,-1.081985337142522
4,-1.090835260824403,-1.130075843257228
5,22.516237861990973,-3.2575329930868557
6,-0.6992406052177892,-1.1636117482726507
7,-0.7777732209795304,-0.8663162710549729
8,-1.1141562229999529,-1.0512482083588566
9,-1.24510052095169,-1.1049450398966338
10,-1.1252615623853426,-1.1490543371489037
11,22.79896456480085,-3.238669610039222
12,-1.1746676818501163,-1.034288252082519
13,22.2097577920631,-3.2174797796213555
14,-1.267580767926805,-1.083623717378629
15,-1.3955493599253272,-1.1414206740614237
16,21.983512773342976,-3.1762005996791434
17,-1.0690059488442718,-1.0280100793631939
18,-0.2570223754514959,-1.2650150215729306
19,-0.9353067877899361,-1.1386749643876914
20,26.643722713119548,-3.5756947571728173
21,-1.1621397597556364,-0.9866614518551402
22,-0.2337971432611166,-0.956899084459226
23,-1.2704035545792578,-0.9729483101296957
24,0.8834689685253381,-1.108938179539282
25,-1.128702480208839,-0.9782577271804209
26,-1.028876075072618,-1.0644767154864165
27,-1.2451120176300479,-1.0064346148160772
28,-0.9906632684777646,-1.0026055880148381
29,-0.0397119801955312,-1.170948574134515
30,-0.6129217220540427,-1.07395323779097
31,-1.2307043057305804,-1.1361765059746662
32,-1.3298332416551573,-1.1658235414782745
33,-1.1382878170771304,-1.084662895142107
34,-0.9497352512683028,-1.1648826534349555
35,-1.0314604281817856,-1.1076849746702389
36,-1.258048375459967,-1.3913360061015796
37,-1.207031787412942,-1.3308907993927017
38,20.64309952139488,-3.872182208507268
39,-1.269804473216669,-1.4728297913590764
40,-1.2010538322665105,-1.4217484534509028
41,-0.9936464342684829,-1.4500809925968026
42,-0.979401804532615,-1.509335080372759
43,-1.1477560865574992,-1.6824946823229023
44,1.3401467198999515,-1.5920614407924094
45,-0.9942297718822839,-1.405924128424378
46,-1.0668756863231506,-1.430791539813053
47,-1.139546143663944,-1.456235815961613
48,-1.2137657661905203,-1.331068182577858
49,-1.2192935367114754,-1.2763294701536592
50,0.2726191369074935,-1.6287257545613416
51,-1.246514197443643,-1.4368229494448321
52,-1.0122546082164272,-1.6723899142681513
53,-1.2406238476370481,-1.381455495793969
54,-1.0691751972660892,-1.4460493256438598
55,-1.2937669920182437,-1.479545780117622
56,-1.2781084362801536,-1.606065163799435
57,-1.256158045856552,-1.4452600694095565
58,-1.2813589095327789,-1.421996407626203
59,-0.8945298983322312,-1.4081248356567497
